MONTH,FILE_NAME,HARD_CODE_SECR,EMPT_PASS,HTTP_USAG,BIND_USAG,SUSP_COMM,INTE_CHCK,TOTAL
2019-03-09 02:04:33.767557, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/elasticsearch-monitor/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:33.802708, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/tools_jenkins/meta/main.yml,0,0,1,0,0,0,1
2019-03-09 02:04:33.873269, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/rbenv/tasks/main.yml,2,0,0,0,0,0,2
2019-03-09 02:04:33.879940, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/user/defaults/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:33.933237, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/user/tasks/main.yml,4,0,0,0,0,0,4
2019-03-09 02:04:33.974750, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/ecommerce/defaults/main.yml,8,0,0,0,1,0,9
2019-03-09 02:04:34.013441, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/ecommerce/tasks/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:34.021502, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/newrelic/defaults/main.yml,0,0,0,0,0,1,1
2019-03-09 02:04:34.032599, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/newrelic/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:34.045918, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/alton/defaults/main.yml,6,0,0,0,0,0,6
2019-03-09 02:04:34.059900, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/alton/tasks/deploy.yml,1,0,0,0,0,0,1
2019-03-09 02:04:34.082084, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/haproxy/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:34.093668, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/xsy/defaults/main.yml,5,0,0,0,0,0,5
2019-03-09 02:04:34.109745, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/xsy/tasks/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:34.133566, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/gluster/tasks/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:34.139800, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/android_sdk/defaults/main.yml,1,0,0,0,0,0,1
2019-03-09 02:04:34.157131, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/android_sdk/tasks/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:34.160148, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/swapfile/defaults/main.yml,0,0,0,0,1,0,1
2019-03-09 02:04:34.182171, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/certs/defaults/main.yml,4,0,0,0,0,0,4
2019-03-09 02:04:34.202754, /home/brokenquark/repo-ansi/RUedx@configuration/playbooks/roles/certs/tasks/deploy.yml,2,0,0,0,0,0,2
